url,id,full_name,language,forks,stars,open_issues
https://api.github.com/repos/dotnet/dotnet-api-docs,111510915,dotnet/dotnet-api-docs,C#,1614,837,1597
https://api.github.com/repos/Flagsmith/flagsmith,136163130,Flagsmith/flagsmith,Python,447,5733,401
https://api.github.com/repos/microsoft/Web-Dev-For-Beginners,311525798,microsoft/Web-Dev-For-Beginners,JavaScript,13548,89820,143
https://api.github.com/repos/spring-projects/spring-kafka,52980493,spring-projects/spring-kafka,Java,1631,2350,61
https://api.github.com/repos/stair-lab/kg-gen,880940273,stair-lab/kg-gen,Python,60,513,6
https://api.github.com/repos/wailsapp/wails,161951219,wailsapp/wails,Go,1397,28765,288
https://api.github.com/repos/DistroAV/DistroAV,71643008,DistroAV/DistroAV,C++,391,3736,59
https://api.github.com/repos/Nethereum/Nethereum,46746187,Nethereum/Nethereum,C#,733,2201,109
https://api.github.com/repos/pdfme/pdfme,398753576,pdfme/pdfme,TypeScript,326,3298,61
https://api.github.com/repos/propelorm/Propel2,2524463,propelorm/Propel2,PHP,400,1270,265
https://api.github.com/repos/microsoft/Windows-classic-samples,42122336,microsoft/Windows-classic-samples,,3296,5359,163
https://api.github.com/repos/SoftFever/OrcaSlicer,514553345,SoftFever/OrcaSlicer,C++,1257,9981,1022
https://api.github.com/repos/hasanharman/form-builder,862289957,hasanharman/form-builder,TypeScript,227,2284,25
https://api.github.com/repos/Genymobile/scrcpy,111583593,Genymobile/scrcpy,C,11625,124205,2435
https://api.github.com/repos/odigos-io/odigos,501095512,odigos-io/odigos,Go,222,3451,42
https://api.github.com/repos/simonw/llm,622352364,simonw/llm,Python,526,8653,450
https://api.github.com/repos/anyproto/anytype-ts,643874750,anyproto/anytype-ts,TypeScript,348,5631,123
https://api.github.com/repos/BoundaryML/baml,701494311,BoundaryML/baml,Rust,182,4102,215
https://api.github.com/repos/asgeirtj/system_prompts_leaks,976921297,asgeirtj/system_prompts_leaks,JavaScript,1552,6813,5
https://api.github.com/repos/hackmdio/codimd,35017238,hackmdio/codimd,JavaScript,1098,9692,337
https://api.github.com/repos/fatih/dotfiles,19358112,fatih/dotfiles,Lua,140,833,1
https://api.github.com/repos/langchain-ai/open-agent-platform,967116984,langchain-ai/open-agent-platform,TypeScript,247,1323,28
https://api.github.com/repos/nxtscape/nxtscape,985839104,nxtscape/nxtscape,Shell,52,973,8
https://api.github.com/repos/clemlesne/scrape-it-now,842905162,clemlesne/scrape-it-now,Python,20,519,17
https://api.github.com/repos/opal/opal,184366,opal/opal,Ruby,332,4868,149
https://api.github.com/repos/strapi/documentation,306091505,strapi/documentation,JavaScript,1223,1130,57
https://api.github.com/repos/humanlogio/humanlog,25216233,humanlogio/humanlog,Go,54,826,32
https://api.github.com/repos/virattt/ai-hedge-fund,896144595,virattt/ai-hedge-fund,Python,6440,37090,28
https://api.github.com/repos/microsoft/promptflow,660489378,microsoft/promptflow,Python,994,10496,71
https://api.github.com/repos/golang-design/clipboard,314230339,golang-design/clipboard,Go,75,694,24
https://api.github.com/repos/HotCakeX/Harden-Windows-Security,569233100,HotCakeX/Harden-Windows-Security,C#,211,2643,12
https://api.github.com/repos/shoelace-style/shoelace,98339432,shoelace-style/shoelace,TypeScript,899,13539,89
https://api.github.com/repos/dotnet/docs,35890081,dotnet/docs,,6012,4465,1365
