agent,prs,pct_open,pct_closed,pct_merged,developers,repos
Claude_Code,101,14.85148514851485,32.67326732673268,52.475247524752476,68,61
Copilot,1462,29.68536251709986,32.079343365253074,38.23529411764706,1,215
Cursor,144,27.083333333333332,21.52777777777778,51.388888888888886,66,52
Devin,2729,2.6383290582631,48.44265298644192,48.91901795529498,1,130
Human,6628,7.07604103802052,16.188895594447796,76.73506336753168,2515,818
OpenAI_Codex,2686,13.44005956813105,21.258376768428892,65.30156366344005,522,467
