url,id,full_name,language,forks,stars,open_issues
https://api.github.com/repos/kanisterio/kanister,111599187,kanisterio/kanister,Go,165,823,72
https://api.github.com/repos/dotnet/wcf,35562993,dotnet/wcf,C#,572,1739,316
https://api.github.com/repos/frenck/spook,605635573,frenck/spook,Python,46,768,15
https://api.github.com/repos/microsoft/azure-pipelines-tasks,27631673,microsoft/azure-pipelines-tasks,TypeScript,2643,3556,484
https://api.github.com/repos/markuplint/markuplint,104835801,markuplint/markuplint,TypeScript,57,580,123
https://api.github.com/repos/microsoft/vstest,62774726,microsoft/vstest,C#,340,931,29
https://api.github.com/repos/mlflow/mlflow,136202695,mlflow/mlflow,Python,4627,21014,1897
https://api.github.com/repos/dotnet/yarp,245235133,dotnet/yarp,C#,882,9094,174
https://api.github.com/repos/microsoft/vcpkg,68312233,microsoft/vcpkg,CMake,6930,25083,1395
https://api.github.com/repos/huggingface/huggingface_hub,323591830,huggingface/huggingface_hub,Python,740,2713,176
https://api.github.com/repos/microsoft/vscode-pull-request-github,134777298,microsoft/vscode-pull-request-github,TypeScript,621,2401,351
https://api.github.com/repos/folke/snacks.nvim,882482569,folke/snacks.nvim,Lua,260,5287,184
https://api.github.com/repos/midudev/preguntas-entrevista-react,529837621,midudev/preguntas-entrevista-react,JavaScript,727,7433,9
https://api.github.com/repos/microsoft/react-native-windows,48009214,microsoft/react-native-windows,C++,1164,16882,734
https://api.github.com/repos/licensee/licensee,23022377,licensee/licensee,Ruby,295,840,30
https://api.github.com/repos/CoreWCF/CoreWCF,185841694,CoreWCF/CoreWCF,C#,308,1720,371
https://api.github.com/repos/remotion-dev/remotion,274495425,remotion-dev/remotion,TypeScript,1205,22550,83
https://api.github.com/repos/hackmdio/codimd,35017238,hackmdio/codimd,JavaScript,1098,9692,337
https://api.github.com/repos/Azure/azure-sdk-for-net,2928944,Azure/azure-sdk-for-net,C#,4987,5807,1140
https://api.github.com/repos/dotnet/aspire,696529789,dotnet/aspire,C#,647,4605,1021
https://api.github.com/repos/dotnet/core,26784827,dotnet/core,PowerShell,4926,21467,324
https://api.github.com/repos/microsoft/vscode-jupyter,294546561,microsoft/vscode-jupyter,TypeScript,329,1383,222
https://api.github.com/repos/microsoft/mcp-for-beginners,960665821,microsoft/mcp-for-beginners,Python,993,4007,1
https://api.github.com/repos/Azure/azure-sdk-for-js,108311273,Azure/azure-sdk-for-js,TypeScript,1252,2207,879
https://api.github.com/repos/midudev/codi.link,389754521,midudev/codi.link,JavaScript,175,735,3
https://api.github.com/repos/Azure/azure-sdk-for-java,2928948,Azure/azure-sdk-for-java,Java,2085,2490,773
https://api.github.com/repos/dotnet/dotnet,550902717,dotnet/dotnet,C#,176,647,113
https://api.github.com/repos/Azure/azure-cosmos-dotnet-v3,156260788,Azure/azure-cosmos-dotnet-v3,C#,510,774,448
https://api.github.com/repos/microsoft/etl2pcapng,208918651,microsoft/etl2pcapng,C,121,682,5
https://api.github.com/repos/tokens-studio/figma-plugin,265001214,tokens-studio/figma-plugin,TypeScript,206,1446,222
https://api.github.com/repos/microsoft/pict,44393232,microsoft/pict,C++,306,1336,19
https://api.github.com/repos/microsoft/azurelinux,281765424,microsoft/azurelinux,RPM Spec,585,4463,805
https://api.github.com/repos/Giorgi/DuckDB.NET,302982238,Giorgi/DuckDB.NET,C#,83,544,24
https://api.github.com/repos/microsoft/kiota,323665366,microsoft/kiota,C#,259,3419,125
https://api.github.com/repos/microsoft/documentdb,920805662,microsoft/documentdb,C,96,1763,39
https://api.github.com/repos/openops-cloud/openops,945671748,openops-cloud/openops,TypeScript,127,858,24
https://api.github.com/repos/microsoft/BotFramework-WebChat,62843932,microsoft/BotFramework-WebChat,HTML,1585,1692,455
https://api.github.com/repos/FerretDB/FerretDB,422821402,FerretDB/FerretDB,Go,450,10229,387
https://api.github.com/repos/MicrosoftDocs/azure-devops-docs,101914862,MicrosoftDocs/azure-devops-docs,Shell,2550,897,40
https://api.github.com/repos/pulumi/pulumi,72477752,pulumi/pulumi,Go,1208,23329,2313
https://api.github.com/repos/huggingface/huggingface.js,598261814,huggingface/huggingface.js,TypeScript,437,2153,160
https://api.github.com/repos/Azure-Samples/azure-search-openai-demo,599293758,Azure-Samples/azure-search-openai-demo,Python,4838,7093,631
https://api.github.com/repos/microsoft/vscode-python,106462765,microsoft/vscode-python,TypeScript,1240,4439,443
https://api.github.com/repos/github/choosealicense.com,11426474,github/choosealicense.com,Ruby,1423,3866,49
https://api.github.com/repos/dotnet/Open-XML-SDK,20532052,dotnet/Open-XML-SDK,C#,562,4256,106
https://api.github.com/repos/EvilBeaver/OneScript,55775973,EvilBeaver/OneScript,C#,111,504,95
https://api.github.com/repos/DaveSkender/Stock.Indicators,230706417,DaveSkender/Stock.Indicators,C#,258,1079,50
https://api.github.com/repos/microsoft/vscode-docs,41443539,microsoft/vscode-docs,Markdown,5122,6036,108
https://api.github.com/repos/microsoft/typespec,381857226,microsoft/typespec,Java,290,5204,912
https://api.github.com/repos/JMBeresford/retrom,788715163,JMBeresford/retrom,TypeScript,18,1178,45
https://api.github.com/repos/DonDebonair/slack-machine,102102105,DonDebonair/slack-machine,Python,56,766,15
https://api.github.com/repos/dotnet/maui,262395224,dotnet/maui,C#,1847,22760,4354
https://api.github.com/repos/ryoppippi/ccusage,992755069,ryoppippi/ccusage,TypeScript,85,2557,20
https://api.github.com/repos/objectionary/eo,73056727,objectionary/eo,Java,160,1225,87
https://api.github.com/repos/microsoft/HydraLab,486525050,microsoft/HydraLab,Java,103,993,56
https://api.github.com/repos/microsoft/OpenAPI.NET,97175798,microsoft/OpenAPI.NET,C#,259,1501,68
https://api.github.com/repos/wvlet/airframe,65654242,wvlet/airframe,Scala,69,647,113
https://api.github.com/repos/microsoft/qsharp,593773927,microsoft/qsharp,Rust,130,719,152
https://api.github.com/repos/xtermjs/xterm.js,18068542,xtermjs/xterm.js,TypeScript,1711,18722,217
https://api.github.com/repos/Azure/azure-rest-api-specs,39093389,Azure/azure-rest-api-specs,TypeSpec,5369,2883,2843
https://api.github.com/repos/zoidsh/meru,57047271,zoidsh/meru,TypeScript,98,906,3
https://api.github.com/repos/Azure/azure-storage-fuse,103307180,Azure/azure-storage-fuse,Go,232,750,21
https://api.github.com/repos/mono/SkiaSharp,52293126,mono/SkiaSharp,C#,576,4940,670
https://api.github.com/repos/dotenvx/dotenvx,720267554,dotenvx/dotenvx,JavaScript,74,3858,19
https://api.github.com/repos/Azure/azure-functions-core-tools,77990768,Azure/azure-functions-core-tools,C#,456,1391,714
https://api.github.com/repos/HotCakeX/Harden-Windows-Security,569233100,HotCakeX/Harden-Windows-Security,C#,211,2643,12
