issue_id,event,created_at,actor,commit_id,assignee,label,message
getsentry__sentry-javascript__16653,labeled,2025-06-19T08:56:43Z,flaeppe,,,Bug,
getsentry__sentry-javascript__16653,labeled,2025-06-19T08:56:44Z,getsantry[bot],,,Waiting for: Product Owner,
getsentry__sentry-javascript__16653,labeled,2025-06-19T08:56:52Z,github-actions[bot],,,Google Cloud Functions,
getsentry__sentry-javascript__16653,commented,2025-06-19T21:50:35Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,mentioned,2025-06-19T21:50:36Z,flaeppe,,,,
getsentry__sentry-javascript__16653,subscribed,2025-06-19T21:50:36Z,flaeppe,,,,
getsentry__sentry-javascript__16653,unlabeled,2025-06-19T21:50:36Z,getsantry[bot],,,Waiting for: Product Owner,
getsentry__sentry-javascript__16653,assigned,2025-06-19T21:50:37Z,AbhiPrasad,,AbhiPrasad,,
getsentry__sentry-javascript__16653,cross-referenced,2025-06-19T22:08:17Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,commented,2025-06-19T22:09:13Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,closed,2025-06-20T12:05:57Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,referenced,2025-06-20T12:05:57Z,AbhiPrasad,819d00e17e384e5adaa1a2e60dfb4cecd3eaa1d8,,,
getsentry__sentry-javascript__16653,commented,2025-06-23T16:53:43Z,github-actions[bot],,,,
getsentry__sentry-javascript__16653,commented,2025-06-23T20:12:18Z,flaeppe,,,,
getsentry__sentry-javascript__16653,mentioned,2025-06-23T20:12:20Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,subscribed,2025-06-23T20:12:20Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16653,cross-referenced,2025-06-23T20:19:06Z,flaeppe,,,,
getsentry__sentry-javascript__16653,referenced,2025-06-23T20:28:54Z,AbhiPrasad,9cd315306b003bf494d0a033b021c932d4b989b0,,,
haydenbleasel__kibo__94,labeled,2025-03-21T18:21:40Z,CarlosVP120,,,bug,
haydenbleasel__kibo__94,labeled,2025-06-07T19:43:13Z,haydenbleasel,,,gantt,
haydenbleasel__kibo__94,commented,2025-06-15T23:59:23Z,haydenbleasel,,,,
haydenbleasel__kibo__94,mentioned,2025-06-15T23:59:24Z,CarlosVP120,,,,
haydenbleasel__kibo__94,subscribed,2025-06-15T23:59:24Z,CarlosVP120,,,,
oven-sh__bun__20224,labeled,2025-06-06T07:28:30Z,Frulfump,,,docs,
oven-sh__bun__20224,commented,2025-06-10T09:38:19Z,Frulfump,,,,
risingwavelabs__risingwave__21485,labeled,2025-04-21T15:08:12Z,xxchan,,,type/bug,
risingwavelabs__risingwave__21485,milestoned,2025-04-21T15:08:22Z,github-actions[bot],,,,
risingwavelabs__risingwave__21485,subscribed,2025-04-22T05:46:49Z,aminmokhtari94,,,,
risingwavelabs__risingwave__21485,demilestoned,2025-04-25T06:55:56Z,hzxa21,,,,
risingwavelabs__risingwave__21485,milestoned,2025-04-25T06:55:56Z,hzxa21,,,,
risingwavelabs__risingwave__21485,assigned,2025-04-25T06:56:01Z,hzxa21,,xxchan,,
risingwavelabs__risingwave__21485,cross-referenced,2025-06-03T13:00:03Z,xxchan,,,,
risingwavelabs__risingwave__21485,closed,2025-06-04T06:51:05Z,xxchan,,,,
getsentry__sentry__232,committed,,,dad7106c35248c7b9d4623f5dd91a0e6fdc8c8ba,,,Add closing brace to django 1.3 config docs.
getsentry__sentry__232,subscribed,2011-09-25T23:47:06Z,dwatson,,,,
getsentry__sentry__232,merged,2011-10-11T20:43:57Z,dcramer,dad7106c35248c7b9d4623f5dd91a0e6fdc8c8ba,,,
getsentry__sentry__232,subscribed,2011-10-11T20:43:57Z,dcramer,,,,
getsentry__sentry__232,closed,2011-10-11T20:43:57Z,dcramer,,,,
getsentry__sentry__232,cross-referenced,2017-09-13T21:58:17Z,dcramer,,,,
getsentry__sentry__232,locked,2020-12-24T07:42:20Z,github-actions[bot],,,,
TracecatHQ__tracecat__1208,cross-referenced,2025-06-21T01:34:51Z,daryllimyt,,,,
TracecatHQ__tracecat__1208,closed,2025-06-21T01:46:59Z,daryllimyt,,,,
TracecatHQ__tracecat__1208,commented,2025-06-21T01:48:17Z,daryllimyt,,,,
TracecatHQ__tracecat__1208,mentioned,2025-06-21T01:48:18Z,wzsanders,,,,
TracecatHQ__tracecat__1208,subscribed,2025-06-21T01:48:19Z,wzsanders,,,,
keephq__keep__4788,labeled,2025-05-14T14:50:54Z,dosubot[bot],,,Feature,
keephq__keep__4788,cross-referenced,2025-06-10T08:58:18Z,talboren,,,,
keephq__keep__4788,closed,2025-06-23T07:52:18Z,talboren,,,,
getsentry__sentry-cli__2537,labeled,2025-06-03T09:27:02Z,szokeasaurusrex,,,CLI,
getsentry__sentry-cli__2537,labeled,2025-06-03T09:27:25Z,szokeasaurusrex,,,Improvement,
getsentry__sentry-cli__2537,cross-referenced,2025-06-10T08:59:49Z,szokeasaurusrex,,,,
getsentry__sentry-cli__2537,referenced,2025-06-11T12:31:41Z,szokeasaurusrex,7d1e336192ef0c4cab61b2fab58fe18e1c47b6bf,,,
getsentry__sentry-cli__2537,cross-referenced,2025-06-11T12:32:19Z,szokeasaurusrex,,,,
getsentry__sentry-cli__2537,referenced,2025-06-11T12:34:11Z,szokeasaurusrex,650dd56fa9c0c3e544dea0fefb1af47ae5b7bbb4,,,
getsentry__sentry-cli__2537,referenced,2025-06-11T12:58:52Z,szokeasaurusrex,43e93ab8c60ca6f4316b90bb449fdf1f49224eaa,,,
getsentry__sentry-cli__2537,referenced,2025-06-11T14:43:09Z,szokeasaurusrex,a12fa53c57586ae39c82338c7ae7cdfbba897d3e,,,
getsentry__sentry-cli__2537,closed,2025-06-11T15:06:29Z,szokeasaurusrex,,,,
getsentry__sentry-cli__2537,referenced,2025-06-11T15:06:29Z,szokeasaurusrex,700959e14ee6476d7407d722e8e5d0542a13473e,,,
oven-sh__bun__20238,labeled,2025-06-06T19:46:51Z,lgarron,,,enhancement,
oven-sh__bun__20238,commented,2025-06-06T20:00:10Z,lgarron,,,,
oven-sh__bun__20238,labeled,2025-06-07T05:35:17Z,RiskyMH,,,bun install,
oven-sh__bun__20238,subscribed,2025-06-07T10:36:43Z,Frulfump,,,,
oven-sh__bun__20238,subscribed,2025-06-07T15:19:48Z,peaklabs-dev,,,,
oven-sh__bun__20238,commented,2025-06-10T09:37:33Z,Frulfump,,,,
oven-sh__bun__20238,subscribed,2025-06-25T11:43:21Z,avan2s,,,,
Brooooooklyn__canvas__1055,cross-referenced,2025-06-08T13:31:30Z,Brooooooklyn,,,,
Brooooooklyn__canvas__1055,closed,2025-06-08T14:41:54Z,Brooooooklyn,,,,
getsentry__sentry__94025,committed,,,4c990ab2f1965032a29d8e16ee285f0ea66a17cf,,,Refactor dynamic sampling rule ID assignment using ORM query
getsentry__sentry__94025,committed,,,35b243c00cc18d9ae4bd21b35962b10ea0fb59fe,,,:hammer_and_wrench: apply pre-commit fixes
getsentry__sentry__94025,committed,,,048b168d2bb4a3a618f57d70c9f86725a3a557b8,,,fix(dynamic-sampling): Using queryset API to get the lowest possible rule_id that is not in use without a round-trip to Python
getsentry__sentry__94025,labeled,2025-06-23T11:40:16Z,github-actions[bot],,,Scope: Backend,
getsentry__sentry__94025,renamed,2025-06-23T11:42:03Z,constantinius,,,,
getsentry__sentry__94025,review_requested,2025-06-23T11:42:13Z,constantinius,,,,
getsentry__sentry__94025,review_requested,2025-06-23T11:42:25Z,constantinius,,,,
getsentry__sentry__94025,commented,2025-06-23T11:56:03Z,codecov[bot],,,,
getsentry__sentry__94025,reviewed,,,048b168d2bb4a3a618f57d70c9f86725a3a557b8,,,
getsentry__sentry__94025,committed,,,1ec22ea266b049e9c8e8cc3d56085ee5cc4fcb9f,,,fix(dynamic-sampling): adding fallback values for cases when rule_id would turn out to be NULL
getsentry__sentry__94025,deployed,2025-06-23T12:17:03Z,vercel[bot],,,,
getsentry__sentry__94025,merged,2025-06-23T14:13:03Z,constantinius,2dfc62cbbce698f7188880cf453f9ccc6543a339,,,
getsentry__sentry__94025,closed,2025-06-23T14:13:03Z,constantinius,,,,
getsentry__sentry__94025,head_ref_deleted,2025-06-23T14:13:05Z,constantinius,,,,
getsentry__sentry-javascript__16555,labeled,2025-06-11T17:38:56Z,AbhiPrasad,,,Node.js,
getsentry__sentry-javascript__16555,issue_type_added,2025-06-11T17:38:57Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16555,labeled,2025-06-11T17:38:59Z,gaprl,,,Feature,
getsentry__sentry-javascript__16555,commented,2025-06-11T17:39:24Z,AbhiPrasad,,,,
getsentry__sentry-javascript__16555,assigned,2025-06-11T17:46:04Z,AbhiPrasad,,AbhiPrasad,,
getsentry__sentry-javascript__16555,cross-referenced,2025-06-11T17:58:39Z,AbhiPrasad,,,,
risingwavelabs__risingwave__21913,labeled,2025-05-19T08:11:33Z,xxchan,,,type/feature,
