url,id,full_name,language,forks,stars,open_issues
https://api.github.com/repos/recallnet/js-recall,914048456,recallnet/js-recall,TypeScript,35,965,170
https://api.github.com/repos/electricitymaps/electricitymaps-contrib,59370571,electricitymaps/electricitymaps-contrib,Python,1008,3854,302
https://api.github.com/repos/onlook-dev/onlook,820087727,onlook-dev/onlook,TypeScript,1245,19417,258
https://api.github.com/repos/getsentry/sentry-php,3244931,getsentry/sentry-php,PHP,458,1871,12
https://api.github.com/repos/getsentry/sentry-react-native,75196241,getsentry/sentry-react-native,TypeScript,346,1671,187
https://api.github.com/repos/oven-sh/bun,357728969,oven-sh/bun,Zig,3167,78769,4947
https://api.github.com/repos/latitude-dev/latitude-llm,821360765,latitude-dev/latitude-llm,TypeScript,184,2878,118
https://api.github.com/repos/tldraw/tldraw,365739812,tldraw/tldraw,TypeScript,2570,40557,295
https://api.github.com/repos/langfuse/langfuse,642497346,langfuse/langfuse,TypeScript,1189,13050,328
https://api.github.com/repos/bruin-data/bruin,674225653,bruin-data/bruin,Go,41,952,7
https://api.github.com/repos/coturn/coturn,39242894,coturn/coturn,C,2130,12557,374
https://api.github.com/repos/getsentry/sentry-laravel,57104860,getsentry/sentry-laravel,PHP,192,1295,16
https://api.github.com/repos/getsentry/sentry-cli,51176043,getsentry/sentry-cli,Rust,230,942,65
https://api.github.com/repos/RooCodeInc/Roo-Code,881506708,RooCodeInc/Roo-Code,TypeScript,1711,16010,415
https://api.github.com/repos/mediar-ai/terminator,964314175,mediar-ai/terminator,Rust,85,674,33
https://api.github.com/repos/elie222/inbox-zero,665613753,elie222/inbox-zero,TypeScript,873,8176,66
https://api.github.com/repos/MaiM-with-u/MaiBot,938859604,MaiM-with-u/MaiBot,Python,318,2710,42
https://api.github.com/repos/elizaOS/eliza,826170402,elizaOS/eliza,TypeScript,5249,16125,47
https://api.github.com/repos/getsentry/sentry,873328,getsentry/sentry,Python,4376,41187,2428
https://api.github.com/repos/lumen-notes/lumen,517126881,lumen-notes/lumen,TypeScript,30,506,63
https://api.github.com/repos/odigos-io/odigos,501095512,odigos-io/odigos,Go,222,3451,42
https://api.github.com/repos/amantus-ai/vibetunnel,1002552148,amantus-ai/vibetunnel,TypeScript,36,541,17
https://api.github.com/repos/novuhq/novu,400215964,novuhq/novu,TypeScript,4050,37154,241
https://api.github.com/repos/getsentry/sentry-dotnet,133374092,getsentry/sentry-dotnet,C#,220,689,316
https://api.github.com/repos/getsentry/sentry-javascript,3328572,getsentry/sentry-javascript,TypeScript,1683,8296,394
https://api.github.com/repos/JhumanJ/OpnForm,539168222,JhumanJ/OpnForm,PHP,377,2655,13
https://api.github.com/repos/weecology/DeepForest,124290023,weecology/DeepForest,Python,214,634,86
https://api.github.com/repos/zenml-io/zenml,314197645,zenml-io/zenml,Python,512,4653,64
https://api.github.com/repos/pingdotgg/uploadthing,638794799,pingdotgg/uploadthing,TypeScript,377,4795,36
https://api.github.com/repos/tokens-studio/figma-plugin,265001214,tokens-studio/figma-plugin,TypeScript,206,1446,222
https://api.github.com/repos/Brooooooklyn/canvas,291390714,Brooooooklyn/canvas,Rust,86,1967,75
https://api.github.com/repos/keephq/keep,597502256,keephq/keep,Python,1002,10320,321
https://api.github.com/repos/getsentry/sentry-python,137814779,getsentry/sentry-python,Python,549,2031,196
https://api.github.com/repos/BoundaryML/baml,701494311,BoundaryML/baml,Rust,182,4102,215
https://api.github.com/repos/FastLED/FastLED,14268809,FastLED/FastLED,C++,1704,6950,326
https://api.github.com/repos/sam-goodwin/alchemy,917974798,sam-goodwin/alchemy,TypeScript,45,560,85
https://api.github.com/repos/activepieces/activepieces,573661753,activepieces/activepieces,TypeScript,2123,15499,384
https://api.github.com/repos/haydenbleasel/kibo,847167817,haydenbleasel/kibo,TypeScript,48,1246,16
https://api.github.com/repos/BerriAI/litellm,671269505,BerriAI/litellm,Python,3300,24535,1340
https://api.github.com/repos/RockChinQ/LangBot,575321313,RockChinQ/LangBot,Python,945,12193,98
https://api.github.com/repos/TracecatHQ/tracecat,763923484,TracecatHQ/tracecat,Python,244,2874,33
https://api.github.com/repos/risingwavelabs/risingwave,453068084,risingwavelabs/risingwave,Rust,653,7913,1244
https://api.github.com/repos/buildbuddy-io/buildbuddy,240583093,buildbuddy-io/buildbuddy,Go,109,662,119
https://api.github.com/repos/567-labs/instructor,653589102,567-labs/instructor,Python,805,10815,44
https://api.github.com/repos/mckaywrigley/mckays-app-template,849159862,mckaywrigley/mckays-app-template,TypeScript,382,1797,8
https://api.github.com/repos/twentyhq/twenty,572984571,twentyhq/twenty,TypeScript,3340,28497,198
https://api.github.com/repos/syntaxfm/website,94822475,syntaxfm/website,Svelte,505,1122,56
https://api.github.com/repos/volcengine/verl,881221486,volcengine/verl,Python,1634,9968,722
https://api.github.com/repos/johnlindquist/kit,317639685,johnlindquist/kit,TypeScript,143,4049,144
https://api.github.com/repos/vercel/ai-chatbot,642917329,vercel/ai-chatbot,TypeScript,4791,16745,332
https://api.github.com/repos/RocketChat/Rocket.Chat.ReactNative,99262683,RocketChat/Rocket.Chat.ReactNative,TypeScript,1311,2215,345
https://api.github.com/repos/nrwl/nx-console,137811219,nrwl/nx-console,TypeScript,228,1365,65
