agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,created_at
Cursor,3131238821,16526,https://github.com/getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript/pull/16526,https://github.com/getsentry/sentry-javascript/issues/16521,16521,2025-06-09T19:27:02Z
Cursor,3131760803,20291,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/20291,https://github.com/oven-sh/bun/issues/20273,20273,2025-06-10T02:07:51Z
Cursor,3128477850,4989,https://github.com/keephq/keep,https://github.com/keephq/keep/pull/4989,https://github.com/keephq/keep/issues/4982,4982,2025-06-11T14:50:22Z
Cursor,3140903716,1862,https://github.com/getsentry/sentry-php,https://github.com/getsentry/sentry-php/pull/1862,https://github.com/getsentry/sentry-laravel/issues/1012,1012,2025-06-24T02:00:06Z
Cursor,3147883994,153,https://github.com/haydenbleasel/kibo,https://github.com/haydenbleasel/kibo/pull/153,https://github.com/haydenbleasel/kibo/issues/94,94,2025-06-15T23:59:24Z
Cursor,3147883994,153,https://github.com/haydenbleasel/kibo,https://github.com/haydenbleasel/kibo/pull/153,https://github.com/haydenbleasel/kibo/issues/61,61,2025-06-15T23:59:57Z
Cursor,3137117830,16553,https://github.com/getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript/pull/16553,https://github.com/getsentry/sentry-javascript/issues/16555,16555,2025-06-11T17:38:56Z
