url,id,full_name,language,forks,stars,open_issues
https://api.github.com/repos/vercel/vercel,67753070,vercel/vercel,TypeScript,2620,13741,251
https://api.github.com/repos/azu/promises-book,17328285,azu/promises-book,HTML,574,1383,17
https://api.github.com/repos/jnsahaj/tweakcn,948174507,jnsahaj/tweakcn,TypeScript,214,4018,15
https://api.github.com/repos/trycompai/comp,917358773,trycompai/comp,TypeScript,112,874,55
https://api.github.com/repos/OHIF/Viewers,44164233,OHIF/Viewers,TypeScript,3758,3677,271
https://api.github.com/repos/promptfoo/promptfoo,633927609,promptfoo/promptfoo,TypeScript,584,7323,238
https://api.github.com/repos/jina-ai/reader,784546140,jina-ai/reader,TypeScript,697,8887,102
https://api.github.com/repos/AmoyLab/Unla,966653795,AmoyLab/Unla,TypeScript,90,1307,29
https://api.github.com/repos/leonardsellem/n8n-mcp-server,947387660,leonardsellem/n8n-mcp-server,TypeScript,95,544,16
https://api.github.com/repos/dust-tt/dust,526514610,dust-tt/dust,TypeScript,150,1149,197
https://api.github.com/repos/elizaOS/eliza,826170402,elizaOS/eliza,TypeScript,5248,16126,47
https://api.github.com/repos/synth-inc/onit,860671682,synth-inc/onit,Swift,33,936,46
https://api.github.com/repos/tech-systems/panes,217775615,tech-systems/panes,TypeScript,42,716,31
https://api.github.com/repos/secretlint/secretlint,239106765,secretlint/secretlint,TypeScript,45,1148,26
https://api.github.com/repos/shopware/shopware,131995661,shopware/shopware,PHP,1096,3077,1157
https://api.github.com/repos/vlm-run/vlmrun-hub,886899801,vlm-run/vlmrun-hub,Python,23,519,8
https://api.github.com/repos/blefnk/relivator-nextjs-template,677839173,blefnk/relivator-nextjs-template,TypeScript,247,1341,3
https://api.github.com/repos/cornerstonejs/cornerstone3D,472313202,cornerstonejs/cornerstone3D,TypeScript,390,751,338
https://api.github.com/repos/unclecode/crawl4ai,798201435,unclecode/crawl4ai,Python,4435,46407,238
https://api.github.com/repos/RockChinQ/LangBot,575321313,RockChinQ/LangBot,Python,945,12193,98
https://api.github.com/repos/web-infra-dev/rspack,476642602,web-infra-dev/rspack,Rust,745,11642,208
https://api.github.com/repos/Scale3-Labs/langtrace,779843396,Scale3-Labs/langtrace,TypeScript,89,963,2
https://api.github.com/repos/triggerdotdev/trigger.dev,572570113,triggerdotdev/trigger.dev,TypeScript,739,11529,122
https://api.github.com/repos/box/box-ui-elements,95743138,box/box-ui-elements,JavaScript,318,545,114
https://api.github.com/repos/wolfSSL/wolfssl,28928522,wolfSSL/wolfssl,C,874,2538,153
https://api.github.com/repos/NangoHQ/nango,254328371,NangoHQ/nango,TypeScript,496,5389,22
https://api.github.com/repos/test-zeus-ai/testzeus-hercules,888701643,test-zeus-ai/testzeus-hercules,Python,88,568,17
https://api.github.com/repos/cline/cline,824874689,cline/cline,TypeScript,5853,46267,485
https://api.github.com/repos/neondatabase/neon,351806852,neondatabase/neon,Rust,699,18884,950
https://api.github.com/repos/browserbase/stagehand,776908852,browserbase/stagehand,TypeScript,737,12924,64
https://api.github.com/repos/adaline/gateway,872748942,adaline/gateway,TypeScript,21,509,1
https://api.github.com/repos/lightdash/lightdash,349372179,lightdash/lightdash,TypeScript,578,4830,1599
https://api.github.com/repos/sam-goodwin/alchemy,917974798,sam-goodwin/alchemy,TypeScript,45,563,84
https://api.github.com/repos/marimo-team/marimo,678526156,marimo-team/marimo,Python,572,14014,412
https://api.github.com/repos/vercel/turborepo,413918947,vercel/turborepo,Rust,2018,27989,140
https://api.github.com/repos/wolfSSL/wolfMQTT,44983668,wolfSSL/wolfMQTT,C,158,546,12
https://api.github.com/repos/sourcebot-dev/sourcebot,846729675,sourcebot-dev/sourcebot,TypeScript,105,1946,50
https://api.github.com/repos/calcom/cal.com,350360184,calcom/cal.com,TypeScript,9800,36810,1303
https://api.github.com/repos/tavily-ai/tavily-mcp,923109265,tavily-ai/tavily-mcp,JavaScript,95,506,6
https://api.github.com/repos/textlint/textlint,28478929,textlint/textlint,TypeScript,155,2947,49
https://api.github.com/repos/yytypescript/book,228538361,yytypescript/book,TypeScript,109,1041,124
https://api.github.com/repos/tegnike/aituber-kit,705022737,tegnike/aituber-kit,TypeScript,107,548,43
https://api.github.com/repos/mendableai/firecrawl,787076358,mendableai/firecrawl,TypeScript,3802,40577,190
https://api.github.com/repos/rilldata/rill,436466520,rilldata/rill,Go,138,2102,317
https://api.github.com/repos/ComposioHQ/composio,762304524,ComposioHQ/composio,Python,4424,25552,83
https://api.github.com/repos/vdaas/vald,195619075,vdaas/vald,Go,86,1609,38
https://api.github.com/repos/risingwavelabs/risingwave,453068084,risingwavelabs/risingwave,Rust,653,7913,1244
https://api.github.com/repos/bentoml/BentoML,178976529,bentoml/BentoML,Python,848,7813,135
https://api.github.com/repos/bespokelabsai/curator,879473096,bespokelabsai/curator,Python,110,1417,58
https://api.github.com/repos/crewAIInc/crewAI,710601088,crewAIInc/crewAI,Python,4480,33346,115
https://api.github.com/repos/browserless/browserless,111058386,browserless/browserless,TypeScript,832,10328,41
https://api.github.com/repos/whitphx/streamlit-webrtc,326705246,whitphx/streamlit-webrtc,Python,209,1593,77
https://api.github.com/repos/GlareDB/glaredb,496817075,GlareDB/glaredb,Rust,51,906,92
https://api.github.com/repos/pdfme/pdfme,398753576,pdfme/pdfme,TypeScript,326,3298,61
https://api.github.com/repos/aidenybai/bippy,897892563,aidenybai/bippy,TypeScript,20,864,7
https://api.github.com/repos/OneKeyHQ/app-monorepo,430749584,OneKeyHQ/app-monorepo,TypeScript,404,1969,56
https://api.github.com/repos/reflex-dev/reflex,557075997,reflex-dev/reflex,Python,1371,23432,231
